1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year
0/1,1/1,7/1,16/1,18/1,20/1,23/1,26/1,26/2,31/2,33/3,41/3,43/3,45/3,50/4,56/4,60/5,65/6,70/6,75/7,7/0,9/0,17/1,17/1,22/1,25/1,31/1,34/1,36/1,38/1,39/2,40/2,48/2,50/4,56/4,59/5,68/5,69/7,70/9,76/9,chased,2025
0/1,6/2,12/4,15/4,20/4,25/5,27/5,27/5,34/5,35/5,38/6,40/6,44/7,44/8,44/9,45/9,45/10,45/10,45/10,45/10,9/0,13/0,22/0,27/0,35/0,43/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,chased,2025
0/1,1/1,2/2,7/2,10/3,15/3,20/3,21/4,31/4,33/4,37/4,41/6,49/7,50/9,50/10,50/10,50/10,50/10,50/10,50/10,1/0,4/0,10/0,15/2,17/2,19/2,21/3,23/4,25/4,30/4,34/4,37/4,44/4,46/5,51/5,51/5,51/5,51/5,51/5,51/5,chased,2025
0/1,6/1,13/2,19/2,21/3,25/3,30/4,42/4,46/4,46/5,50/5,54/5,56/6,59/6,60/7,64/7,75/7,79/8,81/8,86/9,8/0,10/0,21/0,27/2,32/2,37/2,41/2,47/2,59/2,64/2,67/2,69/2,73/2,81/2,86/3,90/3,90/3,90/3,90/3,90/3,chased,2025
0/1,0/2,8/2,13/2,17/2,17/2,17/2,19/2,29/2,35/3,36/5,37/6,39/6,43/6,52/7,54/8,59/9,64/9,71/9,74/10,6/0,10/0,13/1,14/1,14/1,18/1,20/2,34/2,38/2,40/4,41/4,45/4,46/4,49/4,50/4,55/4,60/4,72/4,74/4,75/4,chased,2025
0/1,2/2,10/2,14/2,18/3,19/3,23/4,30/4,33/4,49/4,52/4,61/4,63/5,64/5,66/5,72/5,78/6,84/6,95/6,115/6,10/1,11/2,12/2,15/2,28/2,32/2,36/2,45/2,48/2,49/2,54/2,59/4,61/5,65/6,70/6,72/6,76/8,78/8,84/8,88/8,defend,2025
0/1,5/1,7/2,9/2,11/3,11/4,11/5,13/7,15/8,18/8,18/9,20/10,20/10,20/10,20/10,20/10,20/10,20/10,20/10,20/10,8/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,21/0,chased,2025
0/1,2/2,5/2,10/2,15/2,28/2,33/2,45/2,51/2,58/2,63/3,73/3,76/3,81/3,87/3,101/3,104/3,109/3,116/3,126/4,1/0,11/0,23/0,29/0,42/0,54/0,57/0,65/0,81/0,92/0,103/0,115/0,127/0,127/0,127/0,127/0,127/0,127/0,127/0,127/0,chased,2024
0/1,2/1,3/1,11/1,12/1,14/2,23/2,29/2,34/2,38/2,43/3,47/3,57/3,62/3,70/4,72/7,73/7,75/8,79/10,79/10,6/1,13/1,23/1,28/1,35/1,39/1,45/1,48/1,52/1,57/1,63/1,66/2,78/2,83/2,83/2,83/2,83/2,83/2,83/2,83/2,chased,2024
0/1,5/1,6/2,6/4,6/5,7/6,10/6,14/6,16/6,18/7,18/8,18/10,18/10,18/10,18/10,18/10,18/10,18/10,18/10,18/10,6/0,14/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,19/0,chased,2024
0/1,1/1,8/1,8/2,9/3,9/3,9/3,11/3,11/3,12/4,13/5,15/6,16/8,17/8,18/8,20/8,22/8,25/9,26/10,26/10,7/0,13/0,21/0,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,27/1,chased,2024
0/1,5/1,5/1,13/1,16/1,16/2,22/3,26/3,31/3,42/3,50/3,57/3,64/3,72/3,79/4,85/4,95/4,107/5,111/6,116/8,8/0,16/1,21/2,24/2,31/2,35/2,41/2,46/2,49/3,57/3,59/4,65/4,65/5,66/6,69/6,71/6,84/6,88/6,91/6,94/6,defend,2024
0/1,0/1,4/2,5/3,7/3,7/5,13/5,18/5,25/6,26/7,27/7,30/7,36/7,39/8,39/9,40/10,40/10,40/10,40/10,40/10,3/0,9/0,10/0,14/0,21/0,26/0,28/0,31/0,39/0,43/0,43/0,43/0,43/0,43/0,43/0,43/0,43/0,43/0,43/0,43/0,chased,2024
0/1,4/1,5/2,6/2,7/2,10/2,12/2,19/2,24/2,25/2,31/2,32/2,36/3,41/3,44/3,46/4,47/4,49/6,57/6,60/7,5/0,10/0,17/0,26/0,37/1,43/2,49/2,56/2,61/2,61/2,61/2,61/2,61/2,61/2,61/2,61/2,61/2,61/2,61/2,61/2,chased,2024
0/1,2/2,3/2,4/2,9/2,10/2,13/3,20/4,22/4,26/5,28/5,30/5,32/7,36/7,41/7,43/8,43/9,48/9,49/9,50/9,3/1,11/1,18/1,20/1,21/1,22/2,25/2,27/2,30/2,37/2,46/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,51/2,chased,2023
0/1,8/1,10/1,17/2,18/2,25/4,32/4,35/4,36/4,42/4,45/5,49/5,59/5,64/6,71/6,73/7,84/7,91/7,97/8,104/8,1/0,4/0,11/0,11/2,16/3,23/3,32/3,37/3,38/3,47/3,72/3,76/3,90/3,97/3,104/3,105/4,105/4,105/4,105/4,105/4,chased,2023
0/1,1/1,1/1,2/1,5/1,7/1,7/1,10/1,12/1,15/3,15/3,17/3,22/3,26/5,29/5,29/6,29/6,31/6,35/7,39/8,1/1,7/1,13/1,13/2,15/3,16/5,20/5,25/5,29/5,31/5,33/6,34/6,36/7,41/7,41/7,41/7,41/7,41/7,41/7,41/7,chased,2023
0/1,6/1,10/2,12/2,15/2,25/2,31/2,40/3,42/3,48/3,56/3,58/3,60/4,67/4,72/4,82/4,90/4,92/4,110/5,124/5,6/0,14/0,18/0,24/1,27/2,31/2,35/2,40/2,40/3,43/4,47/4,51/4,63/4,73/4,82/4,86/5,96/5,100/6,107/6,119/8,defend,2023
0/1,6/2,7/2,8/2,9/2,12/3,15/3,18/3,20/4,26/4,28/4,32/4,36/5,43/5,45/7,50/8,53/8,60/8,61/8,64/9,1/0,3/0,5/0,16/0,27/1,30/1,31/2,34/2,34/3,40/3,47/4,47/4,49/4,52/4,56/4,57/5,59/5,61/5,65/5,65/5,chased,2023
0/1,7/1,17/1,25/2,31/2,35/2,44/2,46/3,52/3,55/3,60/3,66/3,70/3,75/3,79/4,86/5,91/6,93/6,97/6,102/8,4/0,8/0,15/0,18/1,26/1,31/1,34/2,37/2,43/2,49/2,50/3,57/3,62/3,69/3,71/3,73/3,74/3,78/4,83/5,88/7,defend,2022
0/1,4/1,9/1,14/1,19/1,20/1,23/1,33/1,37/2,45/2,49/2,58/2,64/2,69/2,77/2,87/2,105/2,114/2,122/4,129/5,1/0,4/0,6/0,9/0,12/0,13/3,13/3,18/3,23/3,24/4,26/4,27/5,29/5,35/5,38/6,38/8,39/9,40/9,41/10,41/10,defend,2022
0/1,5/1,11/1,13/2,15/3,18/3,22/3,26/3,29/3,30/4,33/4,36/6,40/8,44/8,45/10,45/10,45/10,45/10,45/10,45/10,4/1,7/1,8/1,19/1,26/1,34/1,37/1,38/1,44/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,46/1,chased,2021
