1over,2over,3over,4over,5over,6over,7over,8over,9over,10over,11over,12over,13over,14over,15over,16over,17over,18over,19over,20over,21over,22over,23over,24over,25over,26over,27over,28over,29over,30over,31over,32over,33over,34over,35over,36over,37over,38over,39over,40over,result,year,match_number
7/0,10/1,21/1,31/1,34/2,34/3,34/3,34/3,34/3,34/3,34/3,34/3,34/3,34/3,34/3,34/3,34/3,34/3,34/3,34/3,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,unknown,2023,1355616
1/2,9/3,15/3,16/3,26/3,31/4,36/4,39/4,48/4,55/4,59/4,68/4,72/5,79/5,83/5,87/5,95/5,113/5,124/5,142/5,7/0,8/0,13/1,24/1,40/1,47/1,52/1,55/1,59/1,61/3,63/3,67/4,77/4,82/4,92/4,100/5,104/6,121/6,134/6,139/7,defend,2023,1355617
2/0,15/0,25/0,41/0,52/0,60/0,66/1,75/1,80/1,93/1,100/1,108/1,126/1,132/1,152/1,154/2,162/2,164/4,180/4,186/5,1/0,12/0,13/0,15/1,19/1,23/1,25/2,29/3,36/3,43/3,54/5,58/6,58/8,58/9,72/9,74/9,88/9,92/10,92/10,92/10,defend,2023,1355618
3/0,6/0,18/0,24/0,26/0,31/1,36/1,42/2,46/2,53/3,61/3,65/3,74/3,82/4,87/4,95/4,103/4,106/5,109/6,112/7,5/0,16/0,39/0,49/0,61/0,67/0,69/1,72/2,75/3,80/3,82/3,86/4,89/4,93/4,100/4,109/4,116/4,116/4,116/4,116/4,chased,2023,1355619
9/1,15/1,25/1,33/1,42/1,51/1,53/1,66/1,69/2,78/2,82/2,85/2,104/2,112/2,125/3,139/3,152/3,167/3,179/3,185/5,8/0,14/0,22/0,23/1,30/2,37/2,44/2,57/2,68/2,82/2,92/3,102/3,115/3,128/3,146/3,152/4,155/5,159/6,167/6,176/8,defend,2023,1355620
8/0,18/1,29/1,41/1,47/1,55/2,64/2,71/2,79/3,84/3,89/3,94/3,104/3,120/3,137/3,144/3,160/4,173/4,179/4,195/4,3/0,3/1,6/1,18/1,26/2,38/2,44/2,56/2,66/2,75/2,80/3,93/3,104/3,123/3,133/3,143/3,158/4,168/4,183/4,193/5,defend,2023,1355621
5/0,5/1,6/2,16/2,21/3,28/3,30/3,34/3,38/4,50/4,55/4,58/4,60/5,62/5,67/5,73/5,78/6,84/6,86/7,87/10,4/0,18/0,25/0,38/0,50/0,53/1,58/1,60/1,69/1,73/1,79/1,91/1,91/1,91/1,91/1,91/1,91/1,91/1,91/1,91/1,chased,2023,1355622
4/1,8/2,13/2,29/2,40/2,53/2,64/2,73/3,79/4,88/4,96/5,109/5,111/6,123/6,134/6,145/6,165/6,182/6,182/6,182/6,6/0,16/0,18/0,35/0,49/0,51/2,55/2,57/3,59/3,72/3,81/4,86/5,99/6,111/6,117/6,125/7,128/8,141/9,141/9,141/9,defend,2023,1355623
5/0,14/0,27/1,34/1,36/2,42/2,44/3,47/3,50/3,62/3,74/3,78/3,83/3,94/3,102/3,119/3,128/4,141/5,153/5,160/8,3/0,7/1,10/1,12/2,21/3,27/3,29/4,42/4,50/5,51/5,52/5,61/6,70/6,76/6,83/6,90/8,96/8,104/8,109/9,119/10,defend,2023,1355624
5/0,10/1,16/1,23/2,30/3,32/3,36/3,40/3,44/4,53/4,60/4,70/4,85/5,92/5,94/5,101/5,120/5,133/5,145/5,152/6,8/0,12/0,14/0,16/1,22/1,27/1,36/1,43/2,49/2,61/2,68/3,75/3,84/3,87/3,96/3,104/3,119/3,127/4,139/5,148/6,defend,2023,1355625
0/0,6/0,16/0,25/0,41/0,49/0,58/0,71/0,79/0,86/1,91/1,99/1,110/1,119/1,128/2,140/2,148/2,164/2,179/2,189/4,5/0,22/0,32/0,42/0,58/0,71/0,76/0,83/0,91/0,94/1,96/3,102/3,112/3,127/3,141/3,146/4,149/6,162/6,173/7,187/7,defend,2023,1355626
9/0,14/0,27/0,35/0,40/1,48/1,49/2,56/3,56/4,61/4,64/4,65/4,71/4,76/5,79/5,90/5,99/5,108/6,114/7,119/8,4/0,14/0,23/0,28/1,35/1,39/1,47/1,54/1,59/1,60/2,73/2,77/3,83/3,90/3,95/3,104/3,112/4,119/5,120/6,120/6,chased,2023,1355627
14/0,30/0,37/0,42/1,58/1,76/1,87/1,96/1,112/2,115/2,119/3,125/3,133/3,142/4,148/4,153/5,158/5,166/5,175/5,181/6,7/1,13/1,18/1,32/1,42/1,52/1,58/1,66/1,73/2,84/2,89/2,100/2,112/2,121/2,125/2,140/2,147/2,157/4,168/4,171/5,defend,2023,1355628
0/0,13/0,15/1,27/1,33/1,36/1,37/2,47/2,58/2,74/2,82/2,100/2,103/3,109/3,120/3,127/4,131/4,140/5,151/5,160/6,11/0,23/0,33/0,42/0,45/1,51/1,54/2,56/4,61/4,65/4,74/4,86/4,92/4,106/4,115/4,119/5,124/5,135/5,141/6,147/7,defend,2023,1355629
5/0,14/0,22/0,30/1,36/2,43/2,52/2,56/2,63/3,72/3,89/3,95/3,105/3,109/4,120/5,126/5,137/5,148/6,153/6,162/6,11/0,17/0,19/2,21/2,41/2,45/2,52/2,57/2,63/2,66/3,71/3,73/4,82/4,87/5,90/6,97/6,100/7,109/7,113/8,116/9,defend,2023,1355630
5/0,12/0,24/0,26/1,38/1,42/1,46/1,50/2,58/3,62/3,71/3,75/5,80/5,84/5,89/6,90/7,97/7,112/7,122/7,139/7,6/0,9/0,18/0,28/0,31/1,34/1,38/1,41/1,46/1,60/2,61/3,67/3,70/4,73/5,80/5,82/5,95/6,97/7,107/7,131/7,defend,2023,1355631
4/0,11/0,21/0,29/0,43/0,53/0,60/0,71/0,74/1,82/2,85/2,95/2,100/2,113/2,128/2,133/3,141/3,155/3,158/5,164/6,2/0,7/1,15/1,24/2,35/3,37/3,39/4,48/5,51/6,55/6,56/8,64/9,70/9,73/9,83/9,83/10,83/10,83/10,83/10,83/10,defend,2023,1355632
0/0,4/0,5/1,12/2,18/3,21/4,23/4,28/4,33/4,42/4,43/5,46/5,57/5,61/5,72/5,74/6,81/6,86/6,102/7,109/9,4/0,12/1,15/1,17/3,27/3,29/3,32/3,35/3,38/3,43/3,50/3,59/3,63/3,69/4,79/4,84/4,88/4,103/4,110/4,110/4,chased,2023,1355633
